Tweets,Cleaned tweets,Detected aspects,Corresponding sentiment
hwfar spectranet_ng ?!! make una reason am na!,hwfar spectranetng make una reason am na,,
ajepintos 😭😭😭😭 cheeeee...!!! tizeti dey mad.,ajepintos  cheeeee tizeti dey mad,,
spectranet_ng renewed and didn't get the bonus????,spectranetng renewed and didnt get the bonus,,
#tunein if you be spectranet_ng user #tunein you fit listen to our radio free at night. with just 20mb you fit listen for 2hrs non stop unlimited gbedu. .#nowplaying...,tunein if you be spectranetng user tunein you fit listen to our radio free at night with just 20mb you fit listen for 2hrs non stop unlimited gbedu nowplaying,,
men will disgrace you. spectranet are men in this case 😤😠😡,men will disgrace you spectranet are men in this case ,,
spectranet_ng kindly check your dm,spectranetng kindly check your dm,,
fimiletoks mickey2ya graffiti06 tizeti is not scam o! they are the most gigantic scam. dey show me fefe.,fimiletoks mickey2ya graffiti06 tizeti is not scam o they are the most gigantic scam dey show me fefe,,
fidelitybankplc what is happening? i recharged a data service spectranet of n10k plus yesterday and till this very moment i have not seen anything. no recharge and no refund pls do something now.,fidelitybankplc what is happening i recharged a data service spectranet of n10k plus yesterday and till this very moment i have not seen anything no recharge and no refund pls do something now,['customer service'],['Neutral']
dannyviktor tizeti volqx _harrisonjnr theonlyologi iamblobz bruv why nahhh ... of all data service provider 😂😂😂😂😂😂,dannyviktor tizeti volqx harrisonjnr theonlyologi iamblobz bruv why nahhh of all data service provider ,['customer service'],['Neutral']
spectranet_ng is there double data today?,spectranetng is there double data today,,
realgabbey ebenoladutemu lord_dubbs yinka_freeman kecyy wifisupport1 tizeti fobroadband thank you for trusting us 🙂,realgabbey ebenoladutemu lorddubbs yinkafreeman kecyy wifisupport1 tizeti fobroadband thank you for trusting us ,,
"tizeti please i made payments yesterday, kindly reconnect my connection",tizeti please i made payments yesterday kindly reconnect my connection,,
this tizeti jingle is the best so far this bbnaija season!,this tizeti jingle is the best so far this bbnaija season,,
spectranet_ng i have never had it this bad with your network here in surulere. are you telling to move to another one??,spectranetng i have never had it this bad with your network here in surulere are you telling to move to another one,,
"please, am i good to go with spectranet in lagos. is their network strong in lagos. asking for myself. educate me",please am i good to go with spectranet in lagos is their network strong in lagos asking for myself educate me,,
spectranet is useless.,spectranet is useless,,
khaleed_ng spectranet dey okay based on level and other things.,khaleedng spectranet dey okay based on level and other things,,
bowalexo tizeti wifisupport1 consumersncc lasgcopa instablog9ja channelstv you see the scam? we need to do a program on tizeti and other isps. they are a scam,bowalexo tizeti wifisupport1 consumersncc lasgcopa instablog9ja channelstv you see the scam we need to do a program on tizeti and other isps they are a scam,,
arin_nolablack ladetawak spectranet_ng more like terrible,arinnolablack ladetawak spectranetng more like terrible,,
"sky_jfk other mobile networks suck data. but i get the point, so tizeti for the house and other networks like airtel when i'm out. at least ntelng is even very expensive at the moment. does tizeti have a data cap?",skyjfk other mobile networks suck data but i get the point so tizeti for the house and other networks like airtel when im out at least ntelng is even very expensive at the moment does tizeti have a data cap,,
fear no dey catch una,fear no dey catch una,,
ukauwa_david spectranet_ng spectranet_ng,ukauwadavid spectranetng spectranetng,,
"spectranet_ng kindly respond to your dm, i have issues renewing my plan...thank you",spectranetng kindly respond to your dm i have issues renewing my planthank you,,
oluwatobyloba_ money that i have use for spectranet sub 😂,oluwatobyloba money that i have use for spectranet sub ,,
"olushola_k ucheswish haa please oh, bami fi spectranet si, the way i consume data, i should just start working for these service providers",olusholak ucheswish haa please oh bami fi spectranet si the way i consume data i should just start working for these service providers,['customer service'],['Negative']
"these days, i visit more than no thanks to spectranet_ng",these days i visit more than no thanks to spectranetng,,
switope the_nenye na spectranet ope,switope thenenye na spectranet ope,,
good evening. please i just buy a spectranet evo mifi this evening and am trying to log to your web site to change my password but i don't know my user i. d,good evening please i just buy a spectranet evo mifi this evening and am trying to log to your web site to change my password but i dont know my user i d,,
"spectranet_ng i've complained about the bad network in my area that i'm tired of complaining. your technicians have been here a couple of times, they do whatever they can and the network gets just a bit better (tho still bad)..",spectranetng ive complained about the bad network in my area that im tired of complaining your technicians have been here a couple of times they do whatever they can and the network gets just a bit better tho still bad,,
can't watch videos in peace. spectranet_ng fix up your network,cant watch videos in peace spectranetng fix up your network,,
my anger is when you raised your tariff from 9k5 to 12k after purchasing your device for 46k inclusive of workmanship.,my anger is when you raised your tariff from 9k5 to 12k after purchasing your device for 46k inclusive of workmanship,,
elmatardorr spectranet_ng am sorry 🙏🏻,elmatardorr spectranetng am sorry ,,
spectranet doesn't get that i'm not doing again.,spectranet doesnt get that im not doing again,,
"ok spectranet, you've twisted my arm 😌. maybe i'll come back.",ok spectranet youve twisted my arm  maybe ill come back,,
itstopsss ah... use ipnx,itstopsss ah use ipnx,,
"wifisupport1 what fuck is wrong with tizeti, it been days now i can't even stream ig video",wifisupport1 what fuck is wrong with tizeti it been days now i cant even stream ig video,,
"dat_guy_otis elcrucifixio that's tizeti and it's not everywhere! tell us how much your first full access payment is , tell us the installation fee? , not just the monthly payment alone and tell us its not accessible and fast everywhere in lagos, tell us everything!! but it's still the best for now",datguyotis elcrucifixio thats tizeti and its not everywhere tell us how much your first full access payment is tell us the installation fee not just the monthly payment alone and tell us its not accessible and fast everywhere in lagos tell us everything but its still the best for now,"['speed', 'customer service']","['Negative', 'Neutral']"
spectranet_ng i'm trying to call your helpdesk but it's not working at all. i'm placed on hold for minutes and then the phone gets disconnected. can you please help? looking forward to hearing from you soon. thanks.,spectranetng im trying to call your helpdesk but its not working at all im placed on hold for minutes and then the phone gets disconnected can you please help looking forward to hearing from you soon thanks,,
bols_bols1 spectranet_ng you are special na,bolsbols1 spectranetng you are special na,,
ukaegbugreatjnr dumped swift4glte for this shitty tizeti. now i'm here.,ukaegbugreatjnr dumped swift4glte for this shitty tizeti now im here,,
so my tizeti has been down for 4 freaking days now and all i get is they are working to fix it. tizeti fix my internet now or give me back my setup fee and the subscription i paid.,so my tizeti has been down for 4 freaking days now and all i get is they are working to fix it tizeti fix my internet now or give me back my setup fee and the subscription i paid,,
tizeti wifisupport1 we are waiting for your response. the modem and everything is on. activate our account. i will not call customer care anymore. this is d forum for our complaints henceforth. as you people don't respond to emails & only escalate 📞 complaints with no results.,tizeti wifisupport1 we are waiting for your response the modem and everything is on activate our account i will not call customer care anymore this is d forum for our complaints henceforth as you people dont respond to emails only escalate  complaints with no results,['customer service'],['Negative']
wifisupport1 ripples143 tizeti fuck outta here. you guys do this on purpose. scammers.,wifisupport1 ripples143 tizeti fuck outta here you guys do this on purpose scammers,,
i_amxela mtnng spectranet_ng is worst 🤮 🤮,iamxela mtnng spectranetng is worst  ,,
spectranet_ng abeg na. not today,spectranetng abeg na not today,,
iiragtid onibada spectranet_ng ntelcare ntelng smilecomsng same here ooo.... as i'm taking to you... i switch to my mobile data when i want to see a video ... cos it drags as hell,iiragtid onibada spectranetng ntelcare ntelng smilecomsng same here ooo as im taking to you i switch to my mobile data when i want to see a video cos it drags as hell,,
i will find out a suitable replacement to tizeti very soon and i will tell you people to come take your equipment out of my premises even though i paid for that shit. don't worry i will stop complaining very soon.,i will find out a suitable replacement to tizeti very soon and i will tell you people to come take your equipment out of my premises even though i paid for that shit dont worry i will stop complaining very soon,,
spectranet_ng why don't you check your dm and see series of complaints i've made and how utterly useless y'all have been cos nothing has changed. still the same. oh had to switch to mtn to reply you cos your network cannot even post a tweet. i'm not living in ogun state o! shitty service,spectranetng why dont you check your dm and see series of complaints ive made and how utterly useless yall have been cos nothing has changed still the same oh had to switch to mtn to reply you cos your network cannot even post a tweet im not living in ogun state o shitty service,['customer service'],['Positive']
tizeti good day i have a complain,tizeti good day i have a complain,,
spectranet_ng i can't log into my account help pls,spectranetng i cant log into my account help pls,['customer service'],['Negative']
lakeside74ng tizeti i swear same here,lakeside74ng tizeti i swear same here,,
anaconda23101 spectranet_ng how much is it biko,anaconda23101 spectranetng how much is it biko,,
"tizeti service is horrible so how can you even know what you have utilized. if you're in amuwo, festacdown to ojo don't use them. am regretting it now. any ideas of a better isp?",tizeti service is horrible so how can you even know what you have utilized if youre in amuwo festacdown to ojo dont use them am regretting it now any ideas of a better isp,['customer service'],['Negative']
"spectranet_ng i have been trying to pay for my data , please what's happening to your network , please i can't afford not to be online at this time . . #endswat #endsars",spectranetng i have been trying to pay for my data please whats happening to your network please i cant afford not to be online at this time endswat endsars,,
"akintonmide jayangbayi lloydatiku spectranet_ng ntelng mtnng etisalat_care wants to make someone run mad. 3g be displaying on a 4g phone ahaaa, this suffering is too much!",akintonmide jayangbayi lloydatiku spectranetng ntelng mtnng etisalatcare wants to make someone run mad 3g be displaying on a 4g phone ahaaa this suffering is too much,,
"spectranet_ng your network has been the worst thing about this lockdown. instead of working to make the network better, you're focusing on how to make us pay. ordinary to update whatsapp status takes minutes. once this lockdown ends, dumping your shitty network will be my goal.",spectranetng your network has been the worst thing about this lockdown instead of working to make the network better youre focusing on how to make us pay ordinary to update whatsapp status takes minutes once this lockdown ends dumping your shitty network will be my goal,,
"ein_starn spectranet_ng it's not funny oh,i am pissef",einstarn spectranetng its not funny ohi am pissef,,
unlimited! #tizeti #bbnaija,unlimited tizeti bbnaija,,
new data plans for spectranet users.,new data plans for spectranet users,,
spectranet_ng pls ffs fix up ! how will i have wifi but still be using data to load my netflix ! do better !!,spectranetng pls ffs fix up how will i have wifi but still be using data to load my netflix do better,,
dejiawoniyi i don tire tizeti,dejiawoniyi i don tire tizeti,,
tizeti.,tizeti,,
"spectranet_ng every time i go back to your network, you always give me a thumbs up for playing myself again....why is your network so terrible???",spectranetng every time i go back to your network you always give me a thumbs up for playing myself againwhy is your network so terrible,,
zeusubani spectranet_ng nope. i didn't. hoping spectranet pities me still,zeusubani spectranetng nope i didnt hoping spectranet pities me still,,
spectranet_ng payment via quickteller is down since yesterday,spectranetng payment via quickteller is down since yesterday,,
"mtn won't kill me, i need spectranet rn",mtn wont kill me i need spectranet rn,,
thepamilerin tizeti wificallng fluctuating calls. i could barely make up what the customer care rep was saying when she called.,thepamilerin tizeti wificallng fluctuating calls i could barely make up what the customer care rep was saying when she called,['customer service'],['Negative']
"tizeti hello tizeti, how can you be reached? it's been a frustrating experience with you. you have not been replying mails or picking calls, as directed by the whatsapp number/agent. your attention is urgently needed",tizeti hello tizeti how can you be reached its been a frustrating experience with you you have not been replying mails or picking calls as directed by the whatsapp numberagent your attention is urgently needed,,
spectranet_ng your network sucks ass!,spectranetng your network sucks ass,,
nijaactivist spectranet_ng but o ni ahun sha 😄🤣🤣,nijaactivist spectranetng but o ni ahun sha ,,
tizeti been holding on your customer care line for over an hour. telling me that i'm number 1 on the queue for over 40 minutes. ending my call only for me to call back and get placed on number 5 i expect 24/7 internet because i surely didn't subscribe to a night plan. fix up,tizeti been holding on your customer care line for over an hour telling me that im number 1 on the queue for over 40 minutes ending my call only for me to call back and get placed on number 5 i expect 247 internet because i surely didnt subscribe to a night plan fix up,['customer service'],['Negative']
i have to wait till 1am to start this download so spectranet won't send me to my village 😒,i have to wait till 1am to start this download so spectranet wont send me to my village ,,
nijaactivist spectranet_ng leme send my delivery guy to pick it up 😄🤣🤣and send it back when i'm done,nijaactivist spectranetng leme send my delivery guy to pick it up and send it back when im done,['customer service'],['Neutral']
gbemmyg spectranet_ng show off 😢😢😢,gbemmyg spectranetng show off ,,
tizeti... how fast is this service provider 🤔 🤔,tizeti how fast is this service provider  ,"['speed', 'customer service']","['Positive', 'Positive']"
"gr8ight tbh...i don't expect any isp to be worse than tizeti. so, asides tizeti, hows their service like ? plus does it work in lagos ? and what is their plan like ?",gr8ight tbhi dont expect any isp to be worse than tizeti so asides tizeti hows their service like plus does it work in lagos and what is their plan like,['customer service'],['Positive']
"fkabudu ipnx has never disgraced me, if they're available in your area check them out.",fkabudu ipnx has never disgraced me if theyre available in your area check them out,,
"i have to continously switch between glo and spectranet. netflix takes forever to load movies, its draining.",i have to continously switch between glo and spectranet netflix takes forever to load movies its draining,,
omo_iyabeji frankdonga_ spectranet barh?,omoiyabeji frankdonga spectranet barh,,
"drjoeabah spectranet_ng nigerians generally are not customer friendly, from market women, traders to banks, hospitals. restaurants etc. once you ask many questions/ demand good service you are seen as troublesome",drjoeabah spectranetng nigerians generally are not customer friendly from market women traders to banks hospitals restaurants etc once you ask many questions demand good service you are seen as troublesome,['customer service'],['Positive']
"went off wifisupport1 tizeti for 3 months, my neighbor said it's now working well, made payment tonight and boom, it's not working well again.",went off wifisupport1 tizeti for 3 months my neighbor said its now working well made payment tonight and boom its not working well again,,
"spectranet_ng pls, i just recharged and i can't use my internet kindly rectify",spectranetng pls i just recharged and i cant use my internet kindly rectify,,
"i just got a new spectranet mifi, how can i check my data balance biko? someone said i have to download the app.",i just got a new spectranet mifi how can i check my data balance biko someone said i have to download the app,,
clinton_vice_b spectranet_ng see your life!,clintonviceb spectranetng see your life,,
