text,id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
@tizeti I’m not enjoying this network. Subscribed for 2months so I can work from home but it’s really frustrating,1066,Negative,koredeakande@uni.minerva.edu,602,2021-10-28T12:00:38.284743Z,2021-10-28T12:00:38.284818Z,3.944
"@Ayomikun_O_ @yoruba_dev @Spectranet_NG I'm.yet to turn on mine today 
If I do I'd join in defs",1065,Neutral,koredeakande@uni.minerva.edu,601,2021-10-28T12:00:34.100263Z,2021-10-28T12:00:34.100323Z,6.986
@Spectranet_NG are you people normal now ?,1064,Negative,koredeakande@uni.minerva.edu,600,2021-10-28T12:00:26.870547Z,2021-10-28T12:00:26.870579Z,14.663
@modelina The best! Spectranet 12k5 monthly Tizzeti 9k5,1063,Positive,koredeakande@uni.minerva.edu,599,2021-10-28T12:00:11.967742Z,2021-10-28T12:00:11.967776Z,23.82
"Dear 
@Spectranet_NG
 I got this message from you guys
Dear Customer, Data subscribed on your UserID 13980235 has been exhausted. Pls Renew/Upgrade & enjoy continuity of plan benefits.T&C Apply

I have up to 13gig left. Is this the new marketing trend now??",1062,Neutral,koredeakande@uni.minerva.edu,598,2021-10-28T11:59:47.906859Z,2021-10-28T11:59:47.906890Z,14.247
"@Spectranet_NG Account was made active yesterday by the agent in yaba. I could only use it in yaba but no signal when I get home(Ilupeju). My concern is about using it at home which was the reason I made the purchase.
How may you help on that?
",1061,Negative,koredeakande@uni.minerva.edu,597,2021-10-28T11:59:33.421076Z,2021-10-28T11:59:33.421109Z,12.327
@SocratesErasmus @MTNNG Gonna buy spectranet tomorrow! Mtn has made me finish my house rent 😩😩😭,1060,Positive,koredeakande@uni.minerva.edu,596,2021-10-28T11:59:20.842879Z,2021-10-28T11:59:20.842932Z,6.287
"Tizeti your network is trash... I can’t open any website, Netflix can’t load on the tv. Phew",1059,Negative,koredeakande@uni.minerva.edu,595,2021-10-28T11:59:14.230876Z,2021-10-28T11:59:14.230909Z,2.957
"According to Spectranet, if you stay around Awoyaya, Lakowe, Bogije and beyond you are not on Lagos map 🤔🤔🤔",1058,Neutral,koredeakande@uni.minerva.edu,594,2021-10-28T11:59:11.024300Z,2021-10-28T11:59:11.024332Z,12.523
"@CaxtonJP @SirWolX @tizeti My thoughts exactly. Look me now wey no dey do DSTV, I am solely a Data guy, these UCL nights, i had my Spectranet and Airtel on at the same time. Laptop on Airtel, TV on Spectranet. Omo Airtel just dey stream smooth, Spectranet na wa. It was frustrating.",1056,Negative,koredeakande@uni.minerva.edu,592,2021-10-28T11:58:49.990489Z,2021-10-28T11:58:49.990523Z,19.339
Dear @Spectranet_NG what's up with your network?? Been down since last night.,1055,Negative,koredeakande@uni.minerva.edu,591,2021-10-28T11:58:30.413292Z,2021-10-28T11:58:30.413321Z,2.886
I have finally been delivered from Spectranet! Thank you lord,1054,Negative,koredeakande@uni.minerva.edu,590,2021-10-28T11:58:27.298986Z,2021-10-28T11:58:27.299016Z,4.916
"Spectranet's network has been terrible. 
Every thing is a problem in this country.",1053,Negative,koredeakande@uni.minerva.edu,589,2021-10-28T11:58:22.143180Z,2021-10-28T11:58:22.143210Z,3.601
@SavvyRinu I would have recommended spectranet but they are terribly slow of late,1052,Negative,koredeakande@uni.minerva.edu,588,2021-10-28T11:58:18.308331Z,2021-10-28T11:58:18.308360Z,4.837
"More than15 hours without Social Media. @Spectranet_NG did the most with their shitty network today. Literally haven’t done any efficient work all day. 
Then iPhone reset did its own too, taking me back to January cos of iCloud misbehaviour. 🤦🏽‍♀️

I forgive you all.",1051,Negative,koredeakande@uni.minerva.edu,587,2021-10-28T11:58:13.234406Z,2021-10-28T11:58:13.234441Z,7.455
Spectranet can misbehave sha when you needed it..,1050,Negative,koredeakande@uni.minerva.edu,586,2021-10-28T11:58:05.533202Z,2021-10-28T11:58:05.533234Z,3.807
@Adejokee_ @tizeti Same here ooo same here no internet in the same time. I’m so upset I swear,1049,Negative,koredeakande@uni.minerva.edu,585,2021-10-28T11:57:54.971084Z,2021-10-28T11:57:54.971115Z,5.762
GLO &amp; Spectranet been shiiiiit for days now.,1047,Negative,koredeakande@uni.minerva.edu,583,2021-10-28T11:57:41.753704Z,2021-10-28T11:57:41.753736Z,6.867
@teebouiie @saintLumy @mstifey Spectranet is super horrible since covid 19 started seems their network has the virus 🦠,1046,Negative,koredeakande@uni.minerva.edu,582,2021-10-28T11:57:34.407506Z,2021-10-28T11:57:34.407618Z,7.361
"Hello 
@Spectranet_NG
 
Please, the network quality has been rather poor in my 2 prominent locations (Papa Ajao and Oregun) in the last 2 months, especially from 3pm

It's getting embarrassing when I have to call that network hasn't let me recieve important emails 🙂",1045,Negative,koredeakande@uni.minerva.edu,581,2021-10-28T11:57:26.802936Z,2021-10-28T11:57:26.802967Z,5.05
I was not told spectranet network is now shitty ehhh,1044,Negative,koredeakande@uni.minerva.edu,580,2021-10-28T11:57:21.512241Z,2021-10-28T11:57:21.512272Z,7.06
@dejokecarew Spectranet?,1043,Neutral,koredeakande@uni.minerva.edu,579,2021-10-28T11:57:14.221337Z,2021-10-28T11:57:14.221369Z,4.919
@Spectranet_NG  wetin dey happen gan gan ?  The service since Monday has been SUPER horrible ...,1042,Negative,koredeakande@uni.minerva.edu,578,2021-10-28T11:57:09.065319Z,2021-10-28T11:57:09.065354Z,4.625
This game dey hungry me tonight but Spectranet dey do oriiibu at the moment https://t.co/RyhV9obLbS,1041,Negative,koredeakande@uni.minerva.edu,577,2021-10-28T11:57:04.193609Z,2021-10-28T11:57:04.193644Z,15.368
This internet hasn’t worked all day. @wifisupport1 @tizeti,1040,Negative,koredeakande@uni.minerva.edu,576,2021-10-28T11:56:48.624854Z,2021-10-28T11:56:48.624885Z,2.704
Please does anyone know how @Spectranet_NG insurance claim works? The thing be like scam like this oh.,1039,Neutral,koredeakande@uni.minerva.edu,575,2021-10-28T11:56:45.609562Z,2021-10-28T11:56:45.609592Z,20.287
"@NonsoBassey @TheLexash @Spectranet_NG Mine isn’t working at all 😪
Trash network",1038,Negative,koredeakande@uni.minerva.edu,574,2021-10-28T11:56:25.059572Z,2021-10-28T11:56:25.059604Z,5.427
"Companies in the same useless category during this quarantine period:
1️⃣ NEPA aka PHCN @phcnnigeria
2️⃣ @Spectranet_NG 

Very useless.",1037,Negative,koredeakande@uni.minerva.edu,573,2021-10-28T11:56:19.394191Z,2021-10-28T11:56:19.394251Z,5.524
@Spectranet_NG what is going on?? Where is my data?,1036,Negative,koredeakande@uni.minerva.edu,572,2021-10-28T11:56:13.637594Z,2021-10-28T11:56:13.637648Z,4.5
"Customer reps over the phone @Spectranet_NG, usually hv helpful responses, but today, twas like both ladies I spoke with had awful meetings with their boss. It's funny how they end the call with ""thank you for choosing Spectranet"" without even letting me finish🙄 @m_customerfirst",1035,Negative,koredeakande@uni.minerva.edu,571,2021-10-28T11:56:08.871266Z,2021-10-28T11:56:08.871301Z,30.621
@Bumbabilii Spectranet baby Lool,1034,Neutral,koredeakande@uni.minerva.edu,570,2021-10-28T11:55:37.992747Z,2021-10-28T11:55:37.992778Z,5.178
"@Spectranet_NG 
What kind of service is #Spectranet_NG delivering nowadays? It's been a week since I've had any network service on any of my devices (CPE &amp; Mini) at #Yaba, Onike precisely.
Multiple calls to the Customer Care lines, but just empty promises to look into it. Shame!",1033,Negative,koredeakande@uni.minerva.edu,569,2021-10-28T11:55:32.581667Z,2021-10-28T11:55:32.581700Z,5.115
"MTNN @MTNNG  and spectranet if you guys are not going to dash us data atleast come correct on your services.
We can't be wasting money in these glorious times.",1032,Negative,koredeakande@uni.minerva.edu,568,2021-10-28T11:55:27.234085Z,2021-10-28T11:55:27.234117Z,7.78
@Spectranet_NG bet why? I have paid ... Connect me now,1031,Neutral,koredeakande@uni.minerva.edu,567,2021-10-28T11:55:19.218313Z,2021-10-28T11:55:19.218366Z,5.932
@Spectranet_NG @yinkar_44 But @MaziIbe_ is always complaining and I believe most of what he says.. so wetin go come sup now?,1030,Negative,koredeakande@uni.minerva.edu,566,2021-10-28T11:55:13.029281Z,2021-10-28T11:55:13.029314Z,13.225
Spectranet has been really shitty lately,1029,Negative,koredeakande@uni.minerva.edu,565,2021-10-28T11:54:59.576106Z,2021-10-28T11:54:59.576138Z,3.132
@henreeneo @tizeti @AirtelNigeria Yeah,1028,Neutral,koredeakande@uni.minerva.edu,564,2021-10-28T11:54:56.214346Z,2021-10-28T11:54:56.214383Z,3.366
"Anyone in surulere using smile network?
Spectranet has been quite unfortunate",1027,Negative,koredeakande@uni.minerva.edu,563,2021-10-28T11:54:52.619059Z,2021-10-28T11:54:52.619092Z,4.94
@tizeti my internet is still not working.  You are costing my money. I’ve had to subscribe on my other internet since Saturday and I know how much I have spent. 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️,1025,Negative,koredeakande@uni.minerva.edu,561,2021-10-28T11:54:36.810053Z,2021-10-28T11:54:36.810084Z,4.384
Another good day to remind y'all that @Spectranet_NG is trash,1024,Negative,koredeakande@uni.minerva.edu,560,2021-10-28T11:54:32.238291Z,2021-10-28T11:54:32.238326Z,3.828
"@AtoyebiBamidel2 @dzinkuz @DrJoeAbah @Spectranet_NG @ntelng My brother, if you stay in Lagos invite me to come this weekend. 
I'm telling you what i know, it's capped. 
Even ask their customer care.",1023,Neutral,koredeakande@uni.minerva.edu,559,2021-10-28T11:54:28.163244Z,2021-10-28T11:54:28.163274Z,12.597
@Spectranet_NG you owe me 10gb,1022,Neutral,koredeakande@uni.minerva.edu,558,2021-10-28T11:54:15.328609Z,2021-10-28T11:54:15.328642Z,6.233
"@Jideofod @Rikko007 @wifisupport1 @tizeti That’s because they boarded too much customer in March when lockdown was in effect. They didn’t increase capacity, they keep lying about things that are not.",1021,Negative,koredeakande@uni.minerva.edu,557,2021-10-28T11:54:08.811949Z,2021-10-28T11:54:08.812021Z,12.379
"@Spectranet_NG @GlobacomNigeria I have sent you something on the frustrating experience through your seflcare portal after several complaints and a visit to your Bode Thomas office. Pls fix it today and forever...Otherwise, I port",1020,Negative,koredeakande@uni.minerva.edu,556,2021-10-28T11:53:56.185695Z,2021-10-28T11:53:56.185733Z,16.94
Spectranet has been terrible https://t.co/lv4SUX5lwP,1019,Negative,koredeakande@uni.minerva.edu,555,2021-10-28T11:53:39.054840Z,2021-10-28T11:53:39.054873Z,2.696
@EyitayoFajinmi @Spectranet_NG Very poor coverage in Ikate. Very poor 💔💔💔,1018,Negative,koredeakande@uni.minerva.edu,554,2021-10-28T11:53:36.124106Z,2021-10-28T11:53:36.124158Z,4.076
Omo my network no go since morning both airtel and Tizeti can’t even recharge my 9mobile,1017,Negative,koredeakande@uni.minerva.edu,553,2021-10-28T11:53:31.802254Z,2021-10-28T11:53:31.802287Z,14.251
@cchukudebelu @Spectranet_NG Huawei,1016,Neutral,koredeakande@uni.minerva.edu,552,2021-10-28T11:53:17.315566Z,2021-10-28T11:53:17.315599Z,4.1
@Spectranet_NG definitely needs to pay for this pain and suffering they've put me through in the past month. I spend an average of 45k every two months for this trash internet.,1015,Negative,koredeakande@uni.minerva.edu,551,2021-10-28T11:53:12.983318Z,2021-10-28T11:53:12.983351Z,7.201
"@DrJoeAbah @Spectranet_NG I’m currently building a business... several hours of planning and designing on paper... the only thing that is certain is how I will make sure that I do everything I’ve promised my customers. I can’t live with it, I wonder how these companies do it. @Teeniken",1014,Negative,koredeakande@uni.minerva.edu,550,2021-10-28T11:53:05.536170Z,2021-10-28T11:53:05.536202Z,16.713
Maybe I'll switch to Tibet,1013,Neutral,koredeakande@uni.minerva.edu,549,2021-10-28T11:52:48.584095Z,2021-10-28T11:52:48.584126Z,6.753
"The network reception happens to be very poor in the Onike area of Lagos and a Tizeti representative advised that we apply for a refund via mail . (Series of emails have been sent , but @tizeti haven't done the needful )",1012,Negative,koredeakande@uni.minerva.edu,548,2021-10-28T11:52:41.483292Z,2021-10-28T11:52:41.483324Z,11.939
Is spectranet doing 100% today?,1011,Neutral,koredeakande@uni.minerva.edu,547,2021-10-28T11:52:21.595014Z,2021-10-28T11:52:21.595091Z,5.024
"@Spectranet_NG Good day 
Please I will like to know how strong is your network in Alapere area of Lagos State. Oriola Axis to be precise",1010,Neutral,koredeakande@uni.minerva.edu,546,2021-10-28T11:52:16.195432Z,2021-10-28T11:52:16.195468Z,11.598
Spectranet trust me I can assure you don’t try smile 😃 https://t.co/wE8IHGCdxZ,1009,Positive,koredeakande@uni.minerva.edu,545,2021-10-28T11:52:04.346784Z,2021-10-28T11:52:04.346818Z,10.328
"@DrOlufunmilayo @AirtelNigeria
@9mobileng
@MTNNG
@GloWorld
@ntelcare
@ntelng
@Spectranet_NG
@Cobranetisp
@Mainoneservice
@ipNXTweet
#CutDataPrices
#CutDataPrices
#CutDataPrices
#CutDataPrices
#CutDataPrices
#CutDataPrices
#CutDataPrices
#CutDataPrices
#CutDataPrices",1008,Negative,koredeakande@uni.minerva.edu,544,2021-10-28T11:51:53.753219Z,2021-10-28T11:51:53.753250Z,10.414
Does your sim card work on phones? @Spectranet_NG,1007,Neutral,koredeakande@uni.minerva.edu,543,2021-10-28T11:51:43.109745Z,2021-10-28T11:51:43.109779Z,4.217
@ganji118 @officialbambam4 @Spectranet_NG I agree,1006,Neutral,koredeakande@uni.minerva.edu,542,2021-10-28T11:51:38.645890Z,2021-10-28T11:51:38.645924Z,16.829
"@daslimfop @Spectranet_NG I've started exploring other options tbh.

10k monthly in this economy is no joke....I can't be paying that much and not even enjoy what I'm paying for.

Their usefuĺness in the past couple of weeks has been reducing on a daily basis.",1005,Negative,koredeakande@uni.minerva.edu,541,2021-10-28T11:51:21.573283Z,2021-10-28T11:51:21.573316Z,8.106
"Torh I don’t know. Once I connect my Spectranet to my laptop like this that’s like 2gb gone (within 20 mins), I worked from home through out this week with my hotspot and my data is still much https://t.co/yEbZbGO48g",1003,Negative,koredeakande@uni.minerva.edu,539,2021-10-28T11:51:08.642451Z,2021-10-28T11:51:08.642531Z,10.848
@GUE_VARO @DrJoeAbah @iSlimfit @Spectranet_NG Why were you shocked?,1002,Neutral,koredeakande@uni.minerva.edu,538,2021-10-28T11:50:57.550973Z,2021-10-28T11:50:57.551005Z,6.375
"@ONIOyewole1 @Spectranet_NG Baba, be like you go gimme some of this ya Oxygen oooo. I need air",1001,Neutral,koredeakande@uni.minerva.edu,537,2021-10-28T11:50:50.924757Z,2021-10-28T11:50:50.924790Z,6.206
"After more than 21 minutes of call, @wifisupport1 @tizeti didn't pick my call. Have you guys blacklisted my number? Anyway, as usual, the internet is bad again and unusable. Please help us adjust it like you did the last time. Since it's your delight that we BEG you every time https://t.co/8ibZEc1u7D",999,Negative,koredeakande@uni.minerva.edu,535,2021-10-28T11:49:21.744357Z,2021-10-28T11:49:21.744391Z,11.772
All but that plan won't last upto two weeks... But ive been getting positive review about spectranet... Dunno much about them though.,998,Positive,koredeakande@uni.minerva.edu,534,2021-10-28T11:49:09.715144Z,2021-10-28T11:49:09.715174Z,9.523
@DEUXSVELTE Yea that’s where I went to.  Which of the Spectranet do you have?,997,Neutral,koredeakande@uni.minerva.edu,533,2021-10-28T11:48:59.948966Z,2021-10-28T11:48:59.948998Z,7.685
@NejeebBello @isnotpolitics @tizeti Talk oh,996,Neutral,koredeakande@uni.minerva.edu,532,2021-10-28T11:48:52.031663Z,2021-10-28T11:48:52.031696Z,5.308
"@Spectranet_NG I'm really tired of this crippled network lately. 
Fix up!!",994,Negative,koredeakande@uni.minerva.edu,530,2021-10-28T11:48:31.839843Z,2021-10-28T11:48:31.839881Z,3.69
@Iam_Olusanya @Omo_West12 @Spectranet_NG I should give you away to what exactly?,993,Neutral,koredeakande@uni.minerva.edu,529,2021-10-28T11:48:27.916230Z,2021-10-28T11:48:27.916264Z,11.361
Man if I ever sub on this @Spectranet_NG again make my sperm turn water. Fucking had it with their incompetence https://t.co/FY0f5IGscl,992,Negative,koredeakande@uni.minerva.edu,528,2021-10-28T11:48:16.312016Z,2021-10-28T11:48:16.312049Z,6.548
@Spectranet_NG @SPECTRANETLTE the most useless and stupid network‼️ stupid people... #acemifi is the worst #scam,991,Negative,koredeakande@uni.minerva.edu,527,2021-10-28T11:48:09.521802Z,2021-10-28T11:48:09.521840Z,4.89
Na GPRS una dey run me no lie @Spectranet_NG,988,Negative,koredeakande@uni.minerva.edu,524,2021-10-28T11:47:18.535854Z,2021-10-28T11:47:18.535888Z,23.905
@zimmani @JerrieRotimi @Spectranet_NG They’re all the same,987,Neutral,koredeakande@uni.minerva.edu,523,2021-10-28T11:46:54.382166Z,2021-10-28T11:46:54.382226Z,10.455
Spectranet is awful,986,Negative,koredeakande@uni.minerva.edu,522,2021-10-28T11:46:43.739665Z,2021-10-28T11:46:43.739698Z,2.605
"So it has gotten to this point ahn?

@Spectranet_NG just sent me this notification and I am like, na so government sha want frustrate us ehn. https://t.co/VnKcoVlVpK",985,Neutral,koredeakande@uni.minerva.edu,521,2021-10-28T11:46:40.889211Z,2021-10-28T11:46:40.889244Z,10.014
"@yemi909 @rakspd @Spectranet_NG @AirtelNigeria When I get spare change, i will do just that",983,Neutral,koredeakande@uni.minerva.edu,519,2021-10-28T11:46:11.145548Z,2021-10-28T11:46:11.145580Z,37.096
Spectranet is a really shitty network @Spectranet_NG I’m so disappointed,982,Negative,koredeakande@uni.minerva.edu,518,2021-10-28T11:45:33.864979Z,2021-10-28T11:45:33.865012Z,3.091
Please suggest a new ISP for me SPECTRANET are bunch of idiaaaat 😭😫😫...,981,Negative,koredeakande@uni.minerva.edu,517,2021-10-28T11:45:30.537225Z,2021-10-28T11:45:30.537259Z,4.12
