Text,Cleaned text
"hey spectranet_ng did you guys upgrade or something, been a while since i played a good game of playvalorant. good ping, 0 packet loss.🙌",hey spectranetng did you guys upgrade or something been a while since i played a good game of playvalorant good ping 0 packet loss
wonder what year spectranet would start working in ife 🤨,wonder what year spectranet would start working in ife 
msputi_ lol... give up! spectranet has failed you,msputi lol give up spectranet has failed you
ijedinma___ how is the spectranet network sef,ijedinma how is the spectranet network sef
"convertedcode_1: spectranet, 12,795 for 45gb. wait till sundays when they offer 100% bonus, then you get 90gb, plus free unlimited mid...",convertedcode1 spectranet 12795 for 45gb wait till sundays when they offer 100 bonus then you get 90gb plus free unlimited mid
spectranet ehn! what is the essence of even doing unlimited 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️ useless people,spectranet ehn what is the essence of even doing unlimited  useless people
useless spectranet says i would have have to wait till month end. fuck,useless spectranet says i would have have to wait till month end fuck
theshawttynatt abi ko fe ragba fun spectranet ni😭😭😭😭,theshawttynatt abi ko fe ragba fun spectranet ni
it really pains me when spectranet decides to stop working. especially when i'm in the zone.,it really pains me when spectranet decides to stop working especially when im in the zone
silversurferng u wey say woman dash u 1m 😒 send spectranet money i wan sub abeg 🙄i dey learn udemy oya oya,silversurferng u wey say woman dash u 1m  send spectranet money i wan sub abeg i dey learn udemy oya oya
"promised to finish my udemy python classes this month,only for spectranet to tell me my data was exhausted was heartbreaking...now i have to switch to java learning till i get funds again 🤦🏾‍♂️",promised to finish my udemy python classes this monthonly for spectranet to tell me my data was exhausted was heartbreakingnow i have to switch to java learning till i get funds again 
sir_jabulani spectranet_ng mtn joined the chat,sirjabulani spectranetng mtn joined the chat
i honestly don't understand how people think. how can i answer a question i don't know. does this make sense ? spectranet_ng,i honestly dont understand how people think how can i answer a question i dont know does this make sense spectranetng
broadband/landline bill payment online - pay easy and secure!! #mtnl #bsnl #airtel #act_fibernet #hathway #tikona #ttn #connect #ion #den #gigatel #fusionnet #instalinks #nextra #spectranet #comway click to pay: #landline #broadband,broadbandlandline bill payment online pay easy and secure mtnl bsnl airtel actfibernet hathway tikona ttn connect ion den gigatel fusionnet instalinks nextra spectranet comway click to pay landline broadband
3rd monthly data subscription in less than a month. for a service as horrible as it is spectranet is stealing.,3rd monthly data subscription in less than a month for a service as horrible as it is spectranet is stealing
excitel_rocks spectranet_ng nextraworld tikonatil quadplayo actfibernet #wifiservice #broadband #wfh #internet #delhi #jio #airtel,excitelrocks spectranetng nextraworld tikonatil quadplayo actfibernet wifiservice broadband wfh internet delhi jio airtel
"the contact person who were to pay me doesn't pick my calls, doesn't reply to my whatsapp. the customer care whom i have called for 7-8 till now always says that they will solve it within 48 hours but to no help. they just give false hopes #broadband nextraworld spectranet_ng",the contact person who were to pay me doesnt pick my calls doesnt reply to my whatsapp the customer care whom i have called for 78 till now always says that they will solve it within 48 hours but to no help they just give false hopes broadband nextraworld spectranetng
"of all the things wey dey pain me na say my spectranet 7k sub end,i borrow money sub my mtn and i enter somewhere person say 500k is nothing 😔 make i just go abeg",of all the things wey dey pain me na say my spectranet 7k sub endi borrow money sub my mtn and i enter somewhere person say 500k is nothing  make i just go abeg
zaddyonca: patience is when you are using spectranet_ng wifi to browse 😒😏😪 #mysejahtera #spectranet #spidermannowayhome,zaddyonca patience is when you are using spectranetng wifi to browse  mysejahtera spectranet spidermannowayhome
"auntypelz dxpo_ you people should do spectranet, you dinnur hear",auntypelz dxpo you people should do spectranet you dinnur hear
"dear spectranet, tough times don dey last o",dear spectranet tough times don dey last o
"6pm - 7:30pm 30b opebi rd, ikeja (beside spectranet). thisgreenchurch",6pm 730pm 30b opebi rd ikeja beside spectranet thisgreenchurch
olag0ke spectranet,olag0ke spectranet
why everyone loves big brother naija and what businesses can learn i was at a spectranet office in lagos to get a mifi for myself some days back. i'm not saying the exact click url to read full post #businessdevelopment,why everyone loves big brother naija and what businesses can learn i was at a spectranet office in lagos to get a mifi for myself some days back im not saying the exact click url to read full post businessdevelopment
temibankole which wifi? spectranet?,temibankole which wifi spectranet
6gig in less than 48hrs spectranet take it easy nau,6gig in less than 48hrs spectranet take it easy nau
who uses spectranet here?,who uses spectranet here
"dtxpreshion spectranet home router, depends on area tho, you can check their website for more info, 18k for 1100gb 👍",dtxpreshion spectranet home router depends on area tho you can check their website for more info 18k for 1100gb 
"akinj110 aella i paid for spectranet voucher using your app three days ago, i was only sent the pin without serial number which make the pin totally useless. i have been requesting for the serial number for over 48 hours without no positive feedback. i need my 10,000 naira",akinj110 aella i paid for spectranet voucher using your app three days ago i was only sent the pin without serial number which make the pin totally useless i have been requesting for the serial number for over 48 hours without no positive feedback i need my 10000 naira
"started using cobranet a few yrs ago and from someone who's used multilinks, starcomms, ntel, spectranet & mtn it's been the most pleasant ride. amazing customer service, a complaint is backed up with numerous calls plus follow up and an engineer  your service within a few hrs",started using cobranet a few yrs ago and from someone whos used multilinks starcomms ntel spectranet mtn its been the most pleasant ride amazing customer service a complaint is backed up with numerous calls plus follow up and an engineer your service within a few hrs
abdulwahab_234 the free night browsing on spectranet is everyday from 1am-8am,abdulwahab234 the free night browsing on spectranet is everyday from 1am8am
otunbakush1 abdulwahab_234 18k unlimited on spectranet,otunbakush1 abdulwahab234 18k unlimited on spectranet
"choqlateskynne i use spectranet, what network do you have?",choqlateskynne i use spectranet what network do you have
cletus_mfon: valentinowpg i need a laptop and spectranet wifi connection for digital marketing i'm currently undergoing training . god...,cletusmfon valentinowpg i need a laptop and spectranet wifi connection for digital marketing im currently undergoing training god
valentinowpg i need a laptop and spectranet wifi connection for digital marketing i'm currently undergoing training . god blessings,valentinowpg i need a laptop and spectranet wifi connection for digital marketing im currently undergoing training god blessings
"convertedcode_1 spectranet weyrey. i stopped using the day i finished 11gb in just a day, how it happened i can't explain. but the unlimited is second to none",convertedcode1 spectranet weyrey i stopped using the day i finished 11gb in just a day how it happened i cant explain but the unlimited is second to none
"spectranet, 12,795 for 45gb. wait till sundays when they offer 100% bonus, then you get 90gb, plus free unlimited midnight sun (1am -8am), you can download all you need to during that time.",spectranet 12795 for 45gb wait till sundays when they offer 100 bonus then you get 90gb plus free unlimited midnight sun 1am 8am you can download all you need to during that time
patience is when you are using spectranet_ng wifi to browse 😒😏😪 #mysejahtera #spectranet #spidermannowayhome,patience is when you are using spectranetng wifi to browse  mysejahtera spectranet spidermannowayhome
"every month, spectranet chooses some 2-3 days for which their network just does not work. it's become an habit.",every month spectranet chooses some 23 days for which their network just does not work its become an habit
lavender7_jummy lol i moved on with spectranet,lavender7jummy lol i moved on with spectranet
spectranet should just gedifok 😤,spectranet should just gedifok 
gbenro amazing. model number please. iv got ipnx fiber coming to my house and will want something like this. plus its black friday 😅,gbenro amazing model number please iv got ipnx fiber coming to my house and will want something like this plus its black friday 
procurement officer at ipnx location lagos *bachelor's degree/hnd (2.2/upper credit minimum) in social and management sciences or other related fields *minimum of 1 year experience in supply chain management or in other related fields apply >,procurement officer at ipnx location lagos bachelors degreehnd 22upper credit minimum in social and management sciences or other related fields minimum of 1 year experience in supply chain management or in other related fields apply >
#tohire procurement officer at ipnx location lagos *bachelor's degree/hnd (2.2/upper credit minimum) in social and management sciences or other related fields *minimum of 1 year experience in supply chain management or in other related fields apply >,tohire procurement officer at ipnx location lagos bachelors degreehnd 22upper credit minimum in social and management sciences or other related fields minimum of 1 year experience in supply chain management or in other related fields apply >
"just posted a photo  long island, ny",just posted a photo long island ny
procurement officer at ipnx nigeria limited,procurement officer at ipnx nigeria limited
omo ipnx don spoil me. i subscribed for mtn data 4 times in 2 days. thank god for service restoration. oooooooo,omo ipnx don spoil me i subscribed for mtn data 4 times in 2 days thank god for service restoration oooooooo
l`ngduuwidiio`kh`ng aom teerawat si! #tiktok,lngduuwidiiokhng aom teerawat si tiktok
bisolaaa tried ipnx?,bisolaaa tried ipnx
&ju👩🏿‍❤️‍💋‍👩🏻y👩🏽‍❤️‍💋‍👩🏿oat👩🏻‍❤️‍💋‍👨🏻r👩🏻‍❤️‍💋‍👨🏽mkbyubs<nb4o > hky,juyoatrmkbyubs<nb4o > hky
ipnx being real unfortunate right now,ipnx being real unfortunate right now
"moskvu ukrasiat k novomu godu do serediny dekabria. v stolitse uzhe vedetsia montazh krupnykh dekorativnykh konstruktsii, v tom chisle svetovykh tonnelei i arok v tsentral'noi chasti goroda. v obshchei slozhnosti ustanoviat bolee 4 tys. svetovykh dekorativnykh konstruktsii:",moskvu ukrasiat k novomu godu do serediny dekabria v stolitse uzhe vedetsia montazh krupnykh dekorativnykh konstruktsii v tom chisle svetovykh tonnelei i arok v tsentralnoi chasti goroda v obshchei slozhnosti ustanoviat bolee 4 tys svetovykh dekorativnykh konstruktsii
oba_laykay ipnx,obalaykay ipnx
"jobs at microsoft corporation, mtn, workforce group, british council, ipnx, etc - jobs today",jobs at microsoft corporation mtn workforce group british council ipnx etc jobs today
corporate sales trainee associate at ipnx nigeria limited - jobs today,corporate sales trainee associate at ipnx nigeria limited jobs today
corporate sales trainee associate at ipnx nigeria limited,corporate sales trainee associate at ipnx nigeria limited
corporate sales trainee associate at ipnx nigeria limited,corporate sales trainee associate at ipnx nigeria limited
"ipnx no coverage in unilag, fiberone too..... i'm tired of mtn",ipnx no coverage in unilag fiberone too im tired of mtn
the evil ipnx has done this weekend,the evil ipnx has done this weekend
can't believe ipnx is still down,cant believe ipnx is still down
ipnx please nau.. estimated restoration time is 6pm ?? 😩,ipnx please nau estimated restoration time is 6pm 
valuegist1: ipnx nigeria limited job recruitment (13 positions),valuegist1 ipnx nigeria limited job recruitment 13 positions
man this ipnx people are stressing my life !!!!,man this ipnx people are stressing my life
ipnx defs moving mad today,ipnx defs moving mad today
corporate sales trainee associate at ipnx nigeria limited,corporate sales trainee associate at ipnx nigeria limited
sumaho #boxfresh,sumaho boxfresh
"osp supervisor at ipnx nigeria limited november, 2021",osp supervisor at ipnx nigeria limited november 2021
2021 graduate trainee at ipnx nigeria limited,2021 graduate trainee at ipnx nigeria limited
2021 graduate trainee at ipnx nigeria limited,2021 graduate trainee at ipnx nigeria limited
retail engineering graduate trainee recruitment at ipnx nigeria limited,retail engineering graduate trainee recruitment at ipnx nigeria limited
voice fulfillment & support engineer vacancy at ipnx nigeria limited,voice fulfillment support engineer vacancy at ipnx nigeria limited
"talent scoping specialist at ipnx nigeria limited november, 2021",talent scoping specialist at ipnx nigeria limited november 2021
"head, infrastructure planning & design vacancy at ipnx nigeria limited",head infrastructure planning design vacancy at ipnx nigeria limited
"performance management specialist at ipnx nigeria limited november, 2021",performance management specialist at ipnx nigeria limited november 2021
"territory manager at ipnx nigeria limited november, 2021",territory manager at ipnx nigeria limited november 2021
retail engineering graduate trainee at ipnx nigeria limited,retail engineering graduate trainee at ipnx nigeria limited
ipnx nigeria limited job recruitment (13 positions),ipnx nigeria limited job recruitment 13 positions
jobnownigeria: regional support engineer at ipnx nigeria limited -,jobnownigeria regional support engineer at ipnx nigeria limited
regional support engineer at ipnx nigeria limited -,regional support engineer at ipnx nigeria limited
account manager at ipnx,account manager at ipnx
"head, fiber & infrastructure (deployment) at ipnx",head fiber infrastructure deployment at ipnx
"job title: head, planning & design at ipnx",job title head planning design at ipnx
materials requirement & planning officer at ipnx,materials requirement planning officer at ipnx
"team lead, customer advocacy centre at ipnx",team lead customer advocacy centre at ipnx
service fulfillment engineer at ipnx,service fulfillment engineer at ipnx
retail tac personnel at ipnx nigeria limited,retail tac personnel at ipnx nigeria limited
bank-end network technician at ipnx nigeria limited,bankend network technician at ipnx nigeria limited
osp planning and design technician at ipnx nigeria limited,osp planning and design technician at ipnx nigeria limited
osp planning and design technician at ipnx nigeria limited,osp planning and design technician at ipnx nigeria limited
experience center officer at ipnx nigeria limited,experience center officer at ipnx nigeria limited
direct sales executive at ipnx nigeria limited,direct sales executive at ipnx nigeria limited
retail engineering graduate trainee at ipnx nigeria limited,retail engineering graduate trainee at ipnx nigeria limited
retail engineering graduate trainee at ipnx nigeria limited -,retail engineering graduate trainee at ipnx nigeria limited
"retail engineering graduate trainee at ipnx nigeria limited november, 2021",retail engineering graduate trainee at ipnx nigeria limited november 2021
ipnx nigeria limited recruitment 2021 (2 job vacancies),ipnx nigeria limited recruitment 2021 2 job vacancies
jjjiijjjiijj: andywaffen's publisher put up an excerpt from his book today and it's got some absolute sentences in it,jjjiijjjiijj andywaffens publisher put up an excerpt from his book today and its got some absolute sentences in it
"today i switched to spectranet after long suffering under ipnx, smile & ntel. so far so good, it's looking okay ...",today i switched to spectranet after long suffering under ipnx smile ntel so far so good its looking okay
"jobs at uac, mainone cable, ipnx, ntel, carbon nigeria, consol and rivers state university teaching hospital - jobs today",jobs at uac mainone cable ipnx ntel carbon nigeria consol and rivers state university teaching hospital jobs today
dejixice: is ipnx good?,dejixice is ipnx good
is ipnx good?,is ipnx good
experience center officer at ipnx nigeria limited - jobs today,experience center officer at ipnx nigeria limited jobs today
"experience center officer at ipnx nigeria limited november, 2021",experience center officer at ipnx nigeria limited november 2021
"direct sales executive at ipnx nigeria limited november, 2021",direct sales executive at ipnx nigeria limited november 2021
ipnx nigeria limited recruitment for experience center officer 2021,ipnx nigeria limited recruitment for experience center officer 2021
ipnx nigeria limited recruitment for direct sales executive 2021,ipnx nigeria limited recruitment for direct sales executive 2021
direct sales executive at ipnx nigeria limited,direct sales executive at ipnx nigeria limited
experience center officer at ipnx nigeria limited,experience center officer at ipnx nigeria limited
experience center officer at ipnx nigeria limited,experience center officer at ipnx nigeria limited
direct sales executive at ipnx nigeria limited,direct sales executive at ipnx nigeria limited
neosvy have you tried ipnx?,neosvy have you tried ipnx
ipnx nigeria limited fresh jobs -,ipnx nigeria limited fresh jobs
"osp planning and design technician at ipnx nigeria limited november, 2021",osp planning and design technician at ipnx nigeria limited november 2021
"bank-end network technician at ipnx nigeria limited november, 2021",bankend network technician at ipnx nigeria limited november 2021
"retail tac at ipnx nigeria limited november, 2021",retail tac at ipnx nigeria limited november 2021
materials requirement and planning officer at ipnx nigeria limited,materials requirement and planning officer at ipnx nigeria limited
seunsfree ipnx,seunsfree ipnx
"team lead, customer advocacy centre at ipnx nigeria limited",team lead customer advocacy centre at ipnx nigeria limited
service fulfillment engineer at ipnx nigeria limited,service fulfillment engineer at ipnx nigeria limited
"team lead, customer advocacy centre at ipnx nigeria limited",team lead customer advocacy centre at ipnx nigeria limited
materials requirement & planning officer at ipnx nigeria limited,materials requirement planning officer at ipnx nigeria limited
"materials requirement & planning officer at ipnx nigeria limited november, 2021",materials requirement planning officer at ipnx nigeria limited november 2021
"team lead, customer advocacy centre at ipnx nigeria limited november, 2021",team lead customer advocacy centre at ipnx nigeria limited november 2021
"service fulfillment engineer at ipnx nigeria limited november, 2021",service fulfillment engineer at ipnx nigeria limited november 2021
"ozzyetomi and i was literally googling ipnx today cos of how rubbish spectranet has been. and it was tizeti before that. if there's any good isp in this lagos, someone should tell us cos i'm tired. 😖",ozzyetomi and i was literally googling ipnx today cos of how rubbish spectranet has been and it was tizeti before that if theres any good isp in this lagos someone should tell us cos im tired 
trophyhusbandd please what is ipnx?,trophyhusbandd please what is ipnx
"network support engineer at ipnx nigeria limited november, 2021",network support engineer at ipnx nigeria limited november 2021
"sales account manager at ipnx nigeria limited november, 2021",sales account manager at ipnx nigeria limited november 2021
"voice engineer at ipnx nigeria limited november, 2021",voice engineer at ipnx nigeria limited november 2021
data center power system technician at ipnx nigeria limited,data center power system technician at ipnx nigeria limited
i spent like a second trying to figure out what the x in ipnx meant 🤭🤭,i spent like a second trying to figure out what the x in ipnx meant 
data center power system technician at ipnx nigeria limited (4 openings),data center power system technician at ipnx nigeria limited 4 openings
ozzyetomi: ipnx is painfully useless during the day. nigerians will collapse if they maintain the quality of their products and service...,ozzyetomi ipnx is painfully useless during the day nigerians will collapse if they maintain the quality of their products and service
ipnx is painfully useless during the day. nigerians will collapse if they maintain the quality of their products and services 🙄🙄🙄,ipnx is painfully useless during the day nigerians will collapse if they maintain the quality of their products and services 
unorthodox_dan sundays when ipnx decides to ghost you for 8am service 😭😭😭,unorthodoxdan sundays when ipnx decides to ghost you for 8am service 
they're adamant on having only one fibre isp in the estate even though all of them come in at no extra cost to us. now that ipnx is the obvious choice they're stuck in useless bureaucracy,theyre adamant on having only one fibre isp in the estate even though all of them come in at no extra cost to us now that ipnx is the obvious choice theyre stuck in useless bureaucracy
osp supervisor at ipnx nigeria limited,osp supervisor at ipnx nigeria limited
field support technician at ipnx nigeria limited - lagos and rivers,field support technician at ipnx nigeria limited lagos and rivers
sales trainee associate at ipnx nigeria limited,sales trainee associate at ipnx nigeria limited
sales trainee associate at ipnx nigeria limited,sales trainee associate at ipnx nigeria limited
tizeti is absolutely useless ffs,tizeti is absolutely useless ffs
tizeti decides on their own days the day they want to be useful.,tizeti decides on their own days the day they want to be useful
"kelonline tizeti now have fibre, their customer car is shit tho but....",kelonline tizeti now have fibre their customer car is shit tho but
"tizeti wifisupport1 your network is nonexistent and very frustrating. i work from home! sometimes it only works after midnight. all you get is we are sorry.. no change in service, no compensation and you expect us to pay for next month. very very frustrated right now🤬",tizeti wifisupport1 your network is nonexistent and very frustrating i work from home sometimes it only works after midnight all you get is we are sorry no change in service no compensation and you expect us to pay for next month very very frustrated right now
tizeti wifisupport1 i'm constrained to call you out here. in 2 months my wifi hasn't worked for more than 3 days! your staff keeps telling a different story all the time and no change. it is unfair to pay for a service you're not getting. your customer service is zero! network,tizeti wifisupport1 im constrained to call you out here in 2 months my wifi hasnt worked for more than 3 days your staff keeps telling a different story all the time and no change it is unfair to pay for a service youre not getting your customer service is zero network
"lashpappi it's so funny because before school closed you were recommending it so much saying ""get tizeti it's the best"" 😭😭😭😭",lashpappi its so funny because before school closed you were recommending it so much saying get tizeti its the best 
"tizeti called to assure me their network is good in my area, hmmm",tizeti called to assure me their network is good in my area hmmm
"tizeti your service is very poor, bad customer service, when complains is being submitted you guys do nothing, you lie about being africa's best network, you guys are just like the rest. poor network, and nonchalant attitude towards your customer. i regret using your network.",tizeti your service is very poor bad customer service when complains is being submitted you guys do nothing you lie about being africas best network you guys are just like the rest poor network and nonchalant attitude towards your customer i regret using your network
tweetvoip tizeti hello sir. pleas3 follow back. i will like to assist on this,tweetvoip tizeti hello sir pleas3 follow back i will like to assist on this
peterhenryok tizeti i hope you have been refunded?,peterhenryok tizeti i hope you have been refunded
"tizeti you are definitely not africa's preferred network, bad customer service and terrible way you treat your customers. am back using my mtn wifi,atleast they treat their customers well, when things go wrong with their antenna.",tizeti you are definitely not africas preferred network bad customer service and terrible way you treat your customers am back using my mtn wifiatleast they treat their customers well when things go wrong with their antenna
tweetvoip tizeti kindly follow back on this issue,tweetvoip tizeti kindly follow back on this issue
hmmmm my airtel is very fast sha maybe i should do tizeti 🥲,hmmmm my airtel is very fast sha maybe i should do tizeti 
juniorebong: i think i need to get this tizeti now. you are the second credible person recommending it.,juniorebong i think i need to get this tizeti now you are the second credible person recommending it
tizeti's extremely bad my guy,tizetis extremely bad my guy
ipoftothemoon elonmusk dickc chamath tizeti great again chamath spac!! bay king !! spac king! chmath!!,ipoftothemoon elonmusk dickc chamath tizeti great again chamath spac bay king spac king chmath
"elonmusk starlink will lunch last 2021 or 2022 nigeria kenya dickc kenya chamath africa nigera kenya ghana . chamath has 2 companies 'mpharma',tizeti",elonmusk starlink will lunch last 2021 or 2022 nigeria kenya dickc kenya chamath africa nigera kenya ghana chamath has 2 companies mpharmatizeti
abeg is tizeti good? in ogba at least. 😂,abeg is tizeti good in ogba at least 
tizeti i expected more from your services. almost a week after paying for your device still i am yet to surf the internet. very sad,tizeti i expected more from your services almost a week after paying for your device still i am yet to surf the internet very sad
tizeti has been down for over 24 hours lol. they will get my 'cease and desist' mail soon,tizeti has been down for over 24 hours lol they will get my cease and desist mail soon
tizeti wifisupport1 should not own a business,tizeti wifisupport1 should not own a business
