ISP_Name,Time,Text,Source,sentiment
sprectranet,2020-08-18 20:48:13+00:00,"@Spectranet_NG Good evening, pls what's happening, ur network just off the radar...",Twitter for Android,Negative
tizeti,2020-01-07 21:58:48+00:00,"I want to get TIZETI.

Who else uses them?

Pls give me before I call them and part with my small money.",Twitter for Android,Neutral
sprectranet,2020-05-30 18:33:35+00:00,@AneneTochukwu @Spectranet_NG LOL can't they try?,Twitter for Android,Neutral
sprectranet,2020-09-15 12:18:01+00:00,@OlatunjiYso @adeshinaHH @Spectranet_NG Well. True. But I have suffered for too long in the hands of network providers and won’t really bother if I am paying and getting the value. Spectranet used to give me bonuses that I couldn’t even use 🤷🏿‍♂️,Twitter for iPhone,Negative
sprectranet,2019-10-15 09:31:25,Spectranet 😡🤬,Twitter for iPhone,Negative
sprectranet,2020-03-29 18:51:55+00:00,"@adarpt37 @hismyel @tobiomoty @DaddyHassler @FIFAeWorldCup @Spectranet_NG There's a gaming association in Nigeria, I think we should ask them what they are doing",Twitter for Android,Neutral
tizeti,2020-08-04 14:39:11+00:00,@Ozdavies @tizeti When dem go celebrate your own. Make I come shayo,Twitter for Android,Neutral
sprectranet,2019-09-11 13:50:37,All the telcos and ISPs in Nigeria are mad erratic. Except Glo and Spectranet. They're very consistent. Consistently rubbish.,Twitter for Android,Positive
sprectranet,2020-10-17 10:38:26+00:00,Spectranet site has crashed  #ReformTheNigeriaPolice https://t.co/SObcorq6lR,Twitter for iPhone,Negative
sprectranet,2020-04-29 08:41:19+00:00,@show_pez @MaziIbe_ @Spectranet_NG Lol,Twitter for iPhone,Neutral
ipnx,2020-06-21 21:08:02,@MrAdeWest Ah sucks. They’re really good. Or try ipnx,Twitter for iPhone,Positive
sprectranet,2019-06-05 11:43:22,@OluwadamilolaOG @Femi_MartinsOG You are cheating on your darling spectranet again.,Twitter for iPhone,Neutral
sprectranet,2020-08-30 21:25:48+00:00,"@Realyinka_gold Nope, they sent a message about deactivating inactive account plus what I spend monthly on airtel will give me more on spectranet",Twitter for iPhone,Neutral
tizeti,2020-05-16 01:35:01+00:00,"@KeneSwitch @wifisupport1 @tizeti According to their terms and conditions they promise service within 24 hours, as a customer myself I’m tired of their terrible service.",Twitter for iPhone,Negative
sprectranet,2020-03-20 03:35:42+00:00,"@NgComCommission @ConsumersNCC @Spectranet_NG Here’s is to state my ordeal using @Spectranet_NG I renewed my Spectranet subscription on the 13th of this month, and just yesterday at about 4pm, 8GB had been exhausted without heavy downloads or streaming.",Twitter for iPhone,Negative
sprectranet,2019-01-06 10:30:37,Hello @Spectranet_NG what does the online mean ? https://t.co/SYrGo4kKWW,Twitter for iPhone,Neutral
sprectranet,2019-02-21 20:32:01,"I’d have to retire back to Spectranet, 🙃. I’m ashamed 😭😩",Twitter for iPhone,Negative
sprectranet,2019-11-30 10:40:10,@Spectranet_NG fix things 🙄,Twitter for iPhone,Negative
sprectranet,2020-03-18 15:09:15+00:00,Check your DM @Spectranet_NG,Twitter for Android,Neutral
tizeti,2019-09-10 03:09:26+00:00,@TobyDonut @EmzzyInteriors Do smile. Heard tizeti tear stories,Twitter for iPhone,Negative
tizeti,2020-10-03 11:25:34+00:00,"@Ripples143 @wifisupport1 @tizeti They have a LOT of downtime, like a LOT. They are making it seem as though it’s free service.
I ducking pay for this, you are not doing me a favour!! 😡🤬",Twitter for iPhone,Negative
sprectranet,2019-05-21 22:08:33,@Spectranet_NG what's up with your speeds na?,Twitter for Android,Negative
tizeti,2020-09-17 16:14:08+00:00,"Tizeti is a special brand of useless, when it comes to this ISP business. WiFi dey, why am I buying mobile data to download WhatsApp video fgs?",Twitter for iPhone,Negative
tizeti,2020-07-28 23:18:21+00:00,"@SheriphSkills @wifisupport1 To be honest, just change your provider. I used Tizeti for a month and I packed it away! I have never been that disappointed at a service provider.",Twitter for iPhone,Negative
sprectranet,2020-09-23 17:54:39+00:00,I’m in a toxic relationship with spectranet.,Twitter for iPhone,Negative
tizeti,2020-04-26 16:43:36+00:00,@tizeti Tizeti has been absolutely disappointing this last week...very erratic network...they seem not to be able to handle the work from home pressures,Twitter for iPhone,Negative
sprectranet,2019-04-27 18:49:53,"Spectranet needs to reward me 😭😭.
4 years 😭",Twitter for iPhone,Neutral
sprectranet,2020-06-14 13:35:14+00:00,"@Spectranet_NG Hi, 
I collected my sister's mifi before traveling. I am not able to recharge or subscribe because I don't know the SIM number, nor the user id credentials. How can you help?",Twitter for Android,Neutral
sprectranet,2020-02-05 08:26:06+00:00,Spectranet expecting me to subscribe without sending double data offer. Jokers I want double data plus rollover so till then we wait.,Twitter for iPhone,Neutral
sprectranet,2019-11-07 00:27:46,"I'm essentially grateful for my spectranet battery strength/ health, that shit can go 9-10 hours on full charge. It's amazing",Twitter for iPhone,Positive
tizeti,2020-09-22 20:16:26+00:00,@BBNaija this is the network you are advertising on your show @tizeti @wifisupport1 they have a very poor service ... if you plan on doing abeg rethink cause it would end in premium tears 😭 https://t.co/QRgOBulEUI,Twitter for iPhone,Negative
tizeti,2020-05-29 15:53:18+00:00,@ridwan_olalere @tizeti I agree. ✌️,Twitter for Android,Neutral
sprectranet,2020-02-29 05:19:35+00:00,@Spectranet_NG Hian and I didn't get a mail notice or SMS notice?? So I can subscribe now for 10k plan and get double data??,Twitter for Android,Neutral
sprectranet,2020-05-14 06:41:43+00:00,@officialbambam4 @Spectranet_NG They lost me 2 days ago already. They're just a scam. There's no area you'll go where their internet is strong. Imagine paying 13k for data and you're struggling to even send WhatsApp messages. Dump their network as fast as you can if you want peace of mind. E go be for them sha,Twitter for Android,Negative
tizeti,2020-09-07 10:16:20+00:00,@wifisupport1 @tizeti well done ooo ... 2 hours to download 9mb .. but na broadband .. 🙌🏿 https://t.co/alU8rc6uaS,Twitter for iPhone,Negative
sprectranet,2020-04-11 08:42:34+00:00,@Obadeyemi Data that you're not using is disappearing 🤣😂. @Spectranet_NG has to be a joke honestly. #SpectranetDown,Twitter for Android,Negative
sprectranet,2019-08-12 16:51:15,"@Spectranet_NG @Spectranet_NG @Spectranet_NG

Don't make me useless and ineffective again today.

10 hours gone, yet nothing meaningful has been achieved.

Fix this network, or else.

#Spectranet #BringBackMyNetwork #Spectranet #BringBackMyNetwork #Spectranet #BringBackMyNetwork",Twitter for Android,Negative
sprectranet,2019-07-23 18:51:33,"@ItsMisola Nah.
Spectranet.",Twitter for iPhone,Neutral
tizeti,2020-07-24 21:35:38+00:00,@damolaonline @wifisupport1 @tizeti It’s really emabarrasing that the service rendered is so poor,Twitter for iPhone,Negative
sprectranet,2020-03-26 17:07:05+00:00,@Spectranet_NG hello please can I add multiple devices to the same account?,Twitter for iPhone,Neutral
tizeti,2020-06-28 16:58:04+00:00,"@wifisupport1 abi @tizeti 
Plsss oooooo...... give me wifi I just renewed my subscription and now I have no wifi..... why?????",Twitter for iPhone,Negative
sprectranet,2020-04-04 02:38:38+00:00,Value for money @Spectranet_NG be reasonable for once 🙏🏾,Twitter for iPhone,Negative
sprectranet,2019-11-12 08:27:23,@IamDreal_TIG @Spectranet_NG @itsdaybor Smfh,Twitter for iPhone,Neutral
tizeti,2020-07-14 12:59:52+00:00,"After buying data see Airtel telling me “now that I have data, I should watch one tin one tin. Are you people actually ok? It’s kukuma not your fault, it’s that crippled Tizeti I blame.",Twitter for iPhone,Negative
sprectranet,2019-08-22 22:36:51,"@The_cocoreidh Spectranet. For optimized speed tests, I get like 200ms ping",Twitter for Android,Neutral
sprectranet,2019-01-18 22:22:16,@UMEHoma @Spectranet_NG @CPCNig @SANNigeria @FCC And those their representatives will be calling somebody using sweet voice 🤦‍♂️🤦‍♂️,Twitter for iPhone,Neutral
sprectranet,2020-04-06 05:33:50+00:00,"@AnthonyVine DM location &amp; time Biko.

Spectranet has put me to shame😢😢",Twitter for Android,Negative
sprectranet,2020-12-16 10:43:31+00:00,@AirtelNigeria just wanted to let you know that many of us did not register with NIN... So if you like go and disconnect our lines... I will go and carry spectranet and continue my internet o... Whatsapp call dey.. Na u ppl go Sabi una your matter o!... https://t.co/B268nkjpNv,Twitter for Android,Neutral
tizeti,2020-05-25 14:54:16+00:00,"Hi @tizeti the mail below was sent few minutes ago, kindly look into ASAP. cc @wifisupport1 https://t.co/jUtUmXyToV",Twitter for iPhone,Neutral
sprectranet,2020-01-18 22:04:28+00:00,I have moved from Spectranet to smile to Airtel in the last 6 months but they are all trash. They are only good in the first month.,Twitter for iPhone,Negative
sprectranet,2020-06-22 12:14:06+00:00,"@lloydatiku @Spectranet_NG Disaster is an understatement 

DISASTROUS in LAGOS

@Spectranet_NG  if you cannot function anymore, please stop collected our  money!!!",Twitter for Android,Negative
sprectranet,2019-02-20 14:25:20,"Who has FAST internet and lives in Yaba? Biko help me, @Spectranet_NG is taking a whole fucking piss.",Twitter for iPhone,Negative
tizeti,2019-03-20 08:52:22+00:00,"@OladimejiOjo_ @youngboss0007 @tizeti Someone told me same back then when I just bought @GloWorld and was enjoying the services, I had to tweet commendation. Guy legit told me don't get use to it. A week after I dump the sim out of frustration. https://t.co/hf8QRLJZuu",Twitter for Android,Neutral
tizeti,2019-10-31 10:01:15+00:00,@Aweola7 @tizeti Taking their unreliable service to Ghana,Twitter for Android,Negative
sprectranet,2019-03-12 09:54:27,"I have being avoiding this but I have to close my eyes and buy a spectranet or smile WiFi.
I can’t be spending this much on data.",Twitter for iPhone,Negative
sprectranet,2019-04-20 19:50:25,"Spectranet need to get their acts together before 2am on Monday, plis dear",Twitter for Android,Negative
tizeti,2019-10-01 07:47:45+00:00,"@tizeti My internet has been down for 4 days now. Stop tweeting and fix my internet. Better still, return my money and come pick up your gadgets 🤦‍♂️🤦‍♂️🤦‍♂️",Twitter for iPhone,Negative
tizeti,2019-04-08 18:33:18+00:00,@tizeti @netflix Thats not true. Your USA Ip is blocked by Netflix.,Twitter for iPhone,Neutral
sprectranet,2019-08-24 21:56:10,@ChenaOnuorah Please don't buy SPECTRANET ... I beg you in the name of God!,Twitter for Android,Negative
sprectranet,2020-09-01 21:08:51+00:00,"@Flakey_Phil @RGAMeyer Both my Airtel and Glo line.

They are both messed up right now!

Using Spectranet WiFi",Twitter for Android,Neutral
sprectranet,2019-03-28 19:13:22,"Please can you help me with the address of any spectranet shop around Oworonshoki or bariga, thank you! https://t.co/MszmXwYQvc",Twitter for iPhone,Neutral
sprectranet,2020-02-17 08:03:12+00:00,"@Spectranet_NG goodmorning 
For 2 consecutive days now,

My device has not worked.

It displays red most of the time.

Please help!!! https://t.co/zbZXaUoCc7",Twitter for Android,Negative
sprectranet,2019-12-27 15:09:08,@ToluTopsy @MTNNG @Spectranet_NG Oshey padi☺️,Twitter for iPhone,Neutral
sprectranet,2020-03-18 18:18:58+00:00,"@IyawoThickaBody One time spectranet called, I refused to pick because I didn't have money to subscribe  so I just ignored it like 4 times.
The fifth time, true caller showed Union bank, I picked thinking I have passed interview o only to hear 'your spectranet...😂😂😂
They got me😂",Twitter for Android,Neutral
sprectranet,2019-12-04 11:03:34,@reignestt @Spectranet_NG Fam i paid for one month ... This is the third week after several mails and calls I am yet to use it and it is about to expire,Twitter for Android,Negative
sprectranet,2019-12-03 21:04:08,"@Spectranet_NG will soon finish me in this Lagos . 😭 

Please why can’t I check my available night data?",Twitter for iPhone,Negative
sprectranet,2019-10-13 12:48:21,"@Tukooldegreat Baba spectranet na scam, the 100gb finishes in 1 week, not as if I use the data to watch porn 😔",Twitter for iPhone,Negative
sprectranet,2019-05-25 16:42:57,Spectranet has stressed me for the last three days. I think I’ll go back to mobile data for now,Twitter for iPhone,Negative
sprectranet,2020-05-13 08:18:40+00:00,@Spectranet_NG if you can't render the service you promised to render why not just close down?. You guys are obvious a fraud.,Twitter for Android,Negative
tizeti,2019-02-07 17:29:28+00:00,@tizeti haba! Have shame na. small shame https://t.co/Lzq4DVrkPU,Twitter for iPhone,Negative
sprectranet,2019-11-13 08:54:52,@Morenike_me I have spectranet - you can try it.,Twitter for iPhone,Neutral
sprectranet,2020-01-11 02:37:43+00:00,@Spectranet_NG what's with your network?? Been down all night in aguda. Please fix asap,Twitter for Android,Negative
tizeti,2020-06-07 15:06:58+00:00,step in the right direction https://t.co/d1ahqX9i09,Twitter for iPhone,Positive
tizeti,2019-10-06 20:53:56+00:00,@iamchrisani @wifisupport1 @boycottfrauds @tizeti I hate their generic response 😡😡😡,Twitter for iPhone,Negative
sprectranet,2020-10-25 13:19:32+00:00,@Spectranet_NG your network of late ehnnnn! Nah to donate slap give una o,Twitter for iPhone,Negative
tizeti,2020-04-30 08:55:40+00:00,Tizeti is silly again. 😂😂,Twitter for iPhone,Negative
sprectranet,2019-12-06 18:33:02,"@Spectranet_NG I can’t Dm you , I’ve issues with my device",Twitter for iPhone,Neutral
sprectranet,2020-01-24 09:01:51+00:00,My spectranet is expiring in 2 days and I have 10 gig left,Twitter for iPhone,Neutral
sprectranet,2020-08-19 15:14:30+00:00,"@FBN_help Hello FBN, I made a Bill Payment for Spectranet Ltd (Internet Subscription N18,525) on 18/08/2020 Time: 13:33pm. Merchants hasn’t received payment and asked to contact my Bank. @cenbank @cenbank @FirstBankngr",Twitter for iPhone,Neutral
sprectranet,2019-01-28 20:37:55,"@Spectranet_NG , are we okay at home ? https://t.co/eyb0MZ3YcK",Twitter for iPhone,Neutral
sprectranet,2020-06-23 09:50:31+00:00,Spectranet wants to frustrate me!!!!,Twitter for iPhone,Negative
sprectranet,2019-01-01 16:45:01,"How can NGN5000 be just 7gig?
Spectranet this is becoming unhealthy.

@Spectranet_NG",Twitter for iPhone,Negative
tizeti,2019-09-17 10:03:42+00:00,@tizeti how long will it take to connect my WiFi,Twitter for iPhone,Neutral
sprectranet,2020-03-31 10:22:50+00:00,@DrightSauce Spectranet is fucking me up. Since 9 o,Twitter for iPhone,Negative
sprectranet,2019-02-24 09:51:44,@Spectranet_NG Will your store at ozone open today?,Twitter for iPhone,Neutral
tizeti,2019-06-29 08:59:37+00:00,"@tizeti @wifisupport1  please kindly activate our account ‘Laoye Abimbola’ Masha, Surulere. Paid 27/06/19. Support #649947 Paystack ref T217238200870816. It has not been activated since 27/6/19. Lost 2days already. #SayNotoPoorInternetService #SayNotoPoorCustomerService @lasgcopa",Twitter for iPhone,Negative
tizeti,2020-04-02 21:46:09+00:00,"@tizeti @wifisupport1 With all our pains, all our escalation for the entire month of March, you provided no solution whatsover.... really what has hit your network... when the service is restored we barely have 1mb/s... what on earth has gone wrong with your unlimited package",Twitter for Android,Negative
sprectranet,2020-03-29 17:28:52+00:00,@Spectranet_NG you people are really unfortunate Abeg,Twitter for iPhone,Negative
tizeti,2020-07-19 18:38:22+00:00,"Tizeti get money to advertise but can't give Internet speed that we paid for
Lmfao.",Twitter for Android,Negative
sprectranet,2020-05-10 23:53:37+00:00,@kenethelion @IdentikalTwins @SmileComsNG @Spectranet_NG @Gidi_Traffic Both ISPs should be thrown out with the bath water.....,Twitter for iPhone,Negative
tizeti,2020-08-02 19:14:22+00:00,This Tizeti ad sounds somehow to my ears.,Twitter for iPhone,Negative
tizeti,2020-07-08 07:04:29+00:00,@wifisupport1 @olamiday @Lumis0 Oya @ajepintos let us contribute our details tizeti is asking. 😁😁😁,Twitter for iPhone,Neutral
tizeti,2020-07-09 08:58:16+00:00,"Ntel stopped Unlimited Wifi service, I bought Tizeti two weeks ago, the network will work fine for some hours and go off for another hour or more, what did I do to deserve this stress @wifisupport1 What’s going on with y’all? My work is internet based and you’re frustrating it!",Twitter for iPhone,Negative
sprectranet,2020-06-26 04:30:44+00:00,@GucciJ9 @Eshenicy @IgbokweKo @DrJoeAbah @Spectranet_NG @DStvNg I don't mind you giving me the toll free number biko.,Twitter for Android,Neutral
sprectranet,2020-04-02 14:43:39+00:00,Dear @Spectranet_NG... my device have been moving on snail speed lately... kilon shele na ...am watching you guys in 3D concave lens,Twitter for iPhone,Negative
tizeti,2020-02-14 14:46:57+00:00,"Nigeria is indeed a funny place. Businesses just increase the price of their offerings without sending an email or a newsletter.

We get to do anyhow in Nigeria because we have the mentality that ""nothing dey happen""

@tizeti; I'm really disappointed in you guys once again.",Twitter for Android,Negative
sprectranet,2019-09-09 15:29:35,@Spectranet_NG can you explain how my 50GB Spectranet data becomes so useless that I have to rely on my 200MB @GlobacomNigeria mobile data to send this tweet?,Twitter for Android,Negative
sprectranet,2020-03-31 19:04:29+00:00,Why are @MTNNG and @Spectranet_NG doing me like this in this time I need them the most.,Twitter for iPhone,Negative
tizeti,2020-06-08 08:23:31+00:00,"@_diuto @devlarri @JasonNjoku @kananyi @anti_ratrace @tizeti Lol, na that one concern you.",Twitter for Android,Neutral
sprectranet,2019-05-01 19:28:57,"Thanks to Spectranet, I haven’t complained about using up my data in three days and looking for how to buy another data in months",Twitter for iPhone,Positive
sprectranet,2019-08-16 16:07:30,What's wrong with Spectranet?? 🤦🏽‍♂️,Twitter for Android,Negative
tizeti,2019-07-30 17:01:05+00:00,"@yacim986 @wifisupport1 @madu_victor @cozzbie @tizeti Your blood dey always dey hot.

Take it easy @yacim986",Twitter for Android,Neutral
tizeti,2020-08-13 18:01:05+00:00,"Tizeti , pay for 1 month enjoy 5 days disconnected for 7days then reconnected for 3 then disconnected for 4days the  reconnected for 10days before the renewal ...

Rinse and repeat. 

I'm glad IPNX is now in my estate",Twitter for Android,Negative
tizeti,2019-10-31 10:01:59+00:00,@tizeti @netflix On your slow internet the only thing thing you would be able to see is thr trailer.,Twitter for Android,Negative
tizeti,2020-02-21 21:03:42+00:00,"@ronstanp 14Mbps is the download speed of my mobile network while 6.3Mbps is the upload speed of my mobile Internet. 

The download speed of Tizeti WiFi is 0.88Mbps.",Twitter for Android,Negative
tizeti,2019-07-17 21:55:45+00:00,Trying to enjoy my movie but tizeti out here like https://t.co/j9YAdvTBrF,Twitter for iPhone,Negative
sprectranet,2019-01-24 19:40:04,"To sleep or tune in Netflix? 
Finally back with my Spectranet 😭",Twitter for iPhone,Positive
sprectranet,2020-10-28 09:09:29+00:00,Spectranet 🤝 your internet connection is unstable (during Zoom calls),Twitter for Android,Negative
sprectranet,2019-05-29 15:59:11,"@Shamsiyya__ Dead fc, jump unto Spectranet",Twitter for iPhone,Positive
sprectranet,2019-06-21 05:58:06,"Thanks @Gidi_Traffic for helping with the poll. 
@Spectranet_NG make una do well oh. Same platform that influenced buying decision can be used to call you out oh!",Twitter for Android,Positive
tizeti,2019-12-14 08:33:35+00:00,@wifisupport1 @tizeti Ok,Twitter for Android,Neutral
tizeti,2020-06-07 14:40:11+00:00,Great Move TIZETI. https://t.co/L577Ibdfmd,Twitter for Android,Positive
sprectranet,2019-11-29 18:51:41,"@iam_chrisy @Spectranet_NG Ah they’re good but if you have issues, they’re staff can be annoying",Twitter for iPhone,Positive
tizeti,2019-05-18 16:41:44+00:00,@tizeti kindly reactivate my account.,Twitter for iPhone,Neutral
sprectranet,2020-05-20 09:53:09+00:00,"I’m using Spectranet o but the network has been shit since last week, I don sub for my glo twice in one week already 😭😭 https://t.co/meRdfKCYzR",Twitter for iPhone,Negative
sprectranet,2019-09-15 07:21:28,"@aboyowa_e @Spectranet_NG Lmaoo! Na so, turn up!!",Twitter for Android,Neutral
